open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646092800000,145.700,148.980,140.870,142.360,190720.3,1646107199999,27692692.2330,57222,91178.9,13251452.8350,0
1646107200000,142.360,144.560,140.150,144.350,83049.7,1646121599999,11867304.8300,31369,39819.0,5691871.2070,0
1646121600000,144.380,145.590,139.360,142.490,139080.4,1646135999999,19810607.2470,47224,66722.4,9509272.1220,0
1646136000000,142.520,150.770,141.830,144.380,234326.2,1646150399999,34290171.0630,81485,115674.5,16927964.7550,0
1646150400000,144.380,145.620,140.330,143.040,115478.4,1646164799999,16485957.7270,44548,56709.8,8096293.8770,0
1646164800000,143.030,144.490,141.000,143.190,70116.6,1646179199999,10005105.2050,28394,35986.9,5135174.4830,0
1646179200000,143.190,145.890,139.630,145.180,118824.5,1646193599999,16889198.3560,47236,61730.0,8773736.6460,0
1646193600000,145.270,146.270,140.130,141.560,94129.4,1646207999999,13456949.1470,40700,42742.3,6110937.9700,0
1646208000000,141.570,144.290,139.810,143.150,100511.5,1646222399999,14304817.5910,38988,49017.4,6975925.8570,0
1646222400000,143.150,144.760,135.910,138.830,271931.9,1646236799999,37987405.7430,95127,134118.4,18741855.3560,0
1646236800000,138.770,140.700,136.220,137.610,103403.0,1646251199999,14326801.5210,40841,52558.9,7282098.0110,0
1646251200000,137.650,140.070,137.170,137.540,55238.9,1646265599999,7646320.6370,25895,25733.0,3563024.5010,0
1646265600000,137.540,137.760,132.000,133.420,122286.9,1646279999999,16565831.0130,45179,57549.1,7798961.6010,0
1646280000000,133.430,134.610,131.410,133.550,110192.0,1646294399999,14701692.7240,42094,53172.3,7096172.8210,0
1646294400000,133.550,134.490,131.600,133.000,99608.0,1646308799999,13248004.6150,38769,43633.6,5803675.8450,0
1646308800000,132.990,134.650,127.180,128.890,181975.4,1646323199999,23927553.0410,55403,82808.8,10891623.6920,0
1646323200000,128.890,129.310,126.150,128.640,134233.9,1646337599999,17199214.2170,41916,63610.0,8153996.1970,0
1646337600000,128.590,130.440,127.520,129.770,88576.3,1646351999999,11413588.3110,32720,43155.1,5561897.6080,0
1646352000000,129.780,130.580,124.700,128.640,169968.1,1646366399999,21769927.6590,59525,78387.9,10051572.0440,0
1646366400000,128.600,130.250,127.600,129.700,68302.1,1646380799999,8818553.1260,28955,34969.6,4516161.8780,0
1646380800000,129.740,131.920,127.500,130.730,114665.6,1646395199999,14919827.6600,39554,59438.7,7737289.3870,0
